Geography,Male Population,Male_ Under 5,Male_ 5 to 9,Male_ 10 to 14,Male_ 15 to 17,Male_ 18 and 19,Male_ 20,Male_ 21,Male_ 22 to 24,Male_ 25 to 29,Male_ 30 to 34,Male_ 35 to 39,Male_ 40 to 44,Male_ 45 to 49,Male_ 50 to 54,Male_ 55 to 59,Male_ 60 and 61,Male_ 62 to 64,Male_ 65 and 66,Male_ 67 to 69,Male_ 70 to 74,Male_ 75 to 79,Male_ 80 to 84,Male_ 85+,Female Population,Female_ Under 5,Female_ 5 to 9,Female_ 10 to 14,Female_ 15 to 17,Female_ 18 and 19,Female_ 20,Female_ 21,Female_ 22 to 24,Female_ 25 to 29,Female_ 30 to 34,Female_ 35 to 39,Female_ 40 to 44,Female_ 45 to 49,Female_ 50 to 54,Female_ 55 to 59,Female_ 60 and 61,Female_ 62 to 64,Female_ 65 and 66,Female_ 67 to 69,Female_ 70 to 74,Female_ 75 to 79,Female_ 80 to 84,Female_ 85+
City of Carlsbad,54781,3238,3463,3641,2162,962,533,744,1640,3249,2919,3631,4630,4463,4232,4091,1155,2016,1121,1445,2165,1450,882,949,57227,3023,3934,4247,1888,871,462,508,1339,2733,3306,3613,4474,4700,4971,3740,1609,2298,1088,1746,2173,1548,1153,1803
City of Chula Vista,129083,9145,10220,9875,6537,3750,3035,1851,6044,10201,9411,8644,8406,8425,8565,5907,2559,3684,1971,2130,3062,2286,1928,1447,131515,8646,9063,8979,5626,3435,1942,1683,4818,9141,9720,9328,9540,10228,8449,7438,2403,3435,2379,2673,4114,3567,2381,2527
City of Coronado,13032,686,654,564,406,636,474,367,1087,1419,758,644,512,600,605,797,317,512,276,304,539,249,283,343,11820,466,634,694,430,310,181,119,466,899,614,497,668,692,831,880,315,479,345,409,558,385,281,667
City of Del Mar,2287,23,0,128,76,0,0,0,0,64,310,26,136,197,415,187,82,181,28,68,106,102,99,59,2025,0,16,141,89,0,0,0,18,44,268,84,126,293,106,156,56,75,42,123,199,91,81,17
City of El Cajon,51988,3993,3630,3650,2100,1465,874,870,2953,4599,3794,3212,3045,3662,3671,3096,1058,1582,700,878,1193,963,461,539,50906,3435,3649,2982,1930,1403,774,766,2264,4370,3360,3018,3358,3191,3619,3294,1026,1395,878,1152,1497,1139,899,1507
City of Encinitas,30369,2004,1979,1753,967,562,203,313,819,1938,2277,2102,2205,2211,2368,2189,875,1250,879,1039,925,710,374,427,31791,1709,1934,1708,876,356,192,354,997,1938,2337,2038,2137,2417,2170,2492,1106,1250,779,1197,1168,647,849,1140
City of Escondido,74112,6303,5190,5035,3246,2146,1322,1410,3630,6254,6318,4861,4617,5468,4233,3831,1236,2139,926,1234,1704,1059,970,980,75800,5710,4979,5196,3238,2334,1000,1176,3378,6375,5486,5212,4644,4866,4408,4474,1575,2078,1146,1524,2156,1629,1205,2011
City of Imperial Beach,13448,974,916,865,683,483,393,193,587,1461,1000,701,952,894,762,916,246,333,237,108,268,174,221,81,13732,939,969,1009,523,380,315,268,505,1334,1266,861,719,704,875,697,290,378,248,283,303,333,211,322
City of La Mesa,28589,2098,1404,1699,833,478,270,376,1223,3199,2458,2274,1751,1835,1680,1806,691,1012,481,573,868,443,599,538,30536,1909,1793,1317,904,380,588,287,1582,2779,2714,1825,1866,1670,1891,1862,802,1095,671,785,858,691,925,1342
City of Lemon Grove,13139,773,911,957,555,386,149,145,409,981,1068,924,1129,881,757,1131,223,293,346,256,290,225,152,198,13282,722,844,1033,530,395,180,166,433,937,902,1035,967,826,780,856,397,346,293,313,484,254,217,372
City of National City,30198,1714,1936,2008,1333,1045,771,973,2475,2586,2383,2248,1685,1726,1659,1575,735,799,437,463,527,400,338,382,30151,1981,1838,1728,1202,908,554,525,1851,2339,1976,2011,1979,1714,1742,2095,614,901,566,572,765,579,819,892
City of Oceanside,86420,6315,5227,5027,3225,2152,1482,1461,4360,7010,6381,5760,5705,5524,5519,5750,1894,2673,1274,2132,2789,1745,1581,1434,87409,5193,4960,5313,3203,2252,942,1129,3819,6418,6487,5694,5548,5353,5817,6027,2536,2853,1635,2346,3274,2219,2154,2237
City of Poway,24280,1582,1610,1615,1304,588,378,359,886,1355,1260,1370,1625,1628,2074,1819,815,760,582,810,636,556,432,236,25395,1741,1517,1878,960,653,369,190,830,1236,1404,1512,1787,1623,2119,1961,764,791,593,741,996,499,560,671
City of San Diego,690291,44187,39586,37298,23135,20573,13072,13136,40467,71377,61510,49833,45889,42630,44109,38810,14330,18257,11549,13561,17156,11600,9749,8477,684521,42296,37891,36187,23333,19881,12012,11192,36035,65219,56173,46566,44170,42087,44338,40153,14924,21316,12575,16250,20215,14574,12645,14489
City of San Marcos,44871,3317,4201,3512,1553,1564,555,982,1870,2652,3336,3262,3815,3376,2456,2376,641,1135,660,1004,980,500,601,523,46608,3134,3814,3408,1708,1444,604,825,1518,3123,3166,4087,3737,2710,2783,2509,685,1486,949,1154,1192,868,765,939
City of Santee,27220,1874,2053,1787,1148,565,247,415,970,1542,2196,2362,1510,2103,1952,2193,462,835,488,733,723,450,348,264,29619,1739,1711,1800,1140,633,281,237,1187,1791,2380,2067,2273,2220,2052,2064,878,989,831,624,867,623,639,593
City of Solana Beach,6176,256,306,243,158,114,61,36,216,334,452,444,371,374,661,471,172,246,250,155,349,200,138,169,7136,270,176,408,267,172,22,16,213,300,588,595,513,488,408,353,153,446,250,210,586,293,130,279
City of Vista,49952,3184,3280,2867,1496,1930,939,1027,3176,5299,4284,3718,2847,3343,3294,2880,975,1192,804,716,1001,686,440,574,48608,3663,3480,3271,1880,1094,852,883,2110,3770,4208,3483,2683,3635,3113,2627,929,1211,775,967,1134,998,846,996
